ID,NYC-Q_lemon_1,NYC-Q_lemon_2,NYC-Q_lemon_3,NYC-Q_lemon_4,NYC-Q_lemon_5,NYC-Q_lemon_6,NYC-Q_lemon_7,NYC-Q_lemon_8,NYC-Q_lemon_9,NYC-Q_lemon_10,NYC-Q_lemon_11,NYC-Q_lemon_12,NYC-Q_lemon_13,NYC-Q_lemon_14,NYC-Q_lemon_15,NYC-Q_lemon_16,NYC-Q_lemon_17,NYC-Q_lemon_18,NYC-Q_lemon_19,NYC-Q_lemon_20,NYC-Q_lemon_21,NYC-Q_lemon_22,NYC-Q_lemon_23,NYC-Q_lemon_24,NYC-Q_lemon_25,NYC-Q_lemon_26,NYC-Q_lemon_27,NYC-Q_lemon_28,NYC-Q_lemon_29,NYC-Q_lemon_30,NYC-Q_lemon_31,Unnamed: 32,Unnamed: 33
sub-010026,9.0,9,9.0,1,1.0,1.0,1.0,9,1,1,1,1.0,1.0,1,9.0,9.0,1.0,1.0,9.0,9,1.0,1,1,5.0,9.0,9,1.0,1.0,9.0,1.0,1.0,,
sub-010027,8.0,8,8.0,2,2.0,2.0,8.0,5,1,8,8,1.0,1.0,4,1.0,6.0,8.0,1.0,6.0,6,6.0,8,1,7.0,1.0,1,7.0,4.0,7.0,1.0,1.0,,
sub-010028,1.0,2,7.0,9,6.0,1.0,8.0,2,1,1,1,7.0,5.0,9,9.0,9.0,3.0,2.0,9.0,2,1.0,1,1,7.0,2.0,8,2.0,5.0,7.0,4.0,7.0,,
sub-010029,8.0,9,9.0,1,5.0,9.0,8.0,9,1,1,5,5.0,1.0,1,9.0,9.0,,1.0,9.0,9,6.0,1,9,9.0,9.0,5,5.0,5.0,9.0,1.0,1.0,,
sub-010030,2.0,8,8.0,1,1.0,1.0,9.0,3,1,9,1,8.0,8.0,7,8.0,1.0,1.0,1.0,8.0,7,1.0,1,8,9.0,4.0,1,8.0,3.0,4.0,8.0,8.0,,
sub-010031,8.0,9,8.0,8,8.0,3.0,5.0,8,2,6,1,7.0,5.0,5,8.0,8.0,3.0,3.0,6.0,4,2.0,1,8,9.0,8.0,8,3.0,7.0,5.0,6.0,3.0,,
sub-010032,6.0,9,5.0,2,1.0,6.0,3.0,7,2,1,2,8.0,7.0,5,3.0,6.0,1.0,6.0,9.0,8,1.0,4,2,8.0,1.0,3,1.0,7.0,4.0,7.0,8.0,,
sub-010033,6.0,8,6.0,4,5.0,2.0,2.0,3,2,3,2,5.0,4.0,5,9.0,7.0,3.0,6.0,7.0,9,6.0,1,5,7.0,5.0,2,2.0,5.0,9.0,3.0,2.0,,
sub-010034,1.0,4,5.0,7,7.0,1.0,6.0,1,1,1,1,7.0,7.0,5,1.0,9.0,5.0,1.0,1.0,6,1.0,1,1,7.0,5.0,4,7.0,1.0,3.0,1.0,1.0,,
sub-010035,3.0,7,5.0,1,2.0,2.0,1.0,2,1,1,1,4.0,2.0,7,7.0,2.0,8.0,2.0,8.0,8,5.0,6,7,9.0,1.0,3,8.0,8.0,5.0,6.0,9.0,,
sub-010036,3.0,8,8.0,2,5.0,8.0,1.0,8,1,2,1,7.0,7.0,4,3.0,7.0,6.0,6.0,8.0,4,1.0,1,1,7.0,2.0,8,6.0,2.0,1.0,9.0,7.0,,
sub-010037,1.0,1,2.0,1,1.0,1.0,4.0,1,1,1,1,8.0,8.0,9,6.0,6.0,9.0,2.0,1.0,2,3.0,9,8,8.0,8.0,6,6.0,6.0,8.0,2.0,1.0,,
sub-010038,8.0,8,7.0,1,1.0,8.0,4.0,6,1,7,7,2.0,2.0,2,1.0,5.0,1.0,1.0,7.0,8,1.0,8,8,9.0,7.0,2,1.0,1.0,2.0,7.0,7.0,,
sub-010039,1.0,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1,5.0,5.0,1.0,1.0,5.0,1,1.0,1,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,,
